queid,userid,result,difficulty,tstamp
38,user173,0,very hard,2147483647
40,user151,0,very hard,31025
39,user173,0,medium,12155
40,user173,0,very hard,14747
23,user155,1,easy,315345
29,user170,0,medium,99277
21,user178,0,easy,36492
30,user170,0,hard,70736
22,user178,0,medium,2147483647
1,user187,0,medium,33336
21,user186,1,medium,43948
31,user170,0,medium,19756
2,user187,0,medium,28081
22,user186,1,medium,31025
23,user178,0,easy,48137
1,user192,1,easy,2147483647
3,user187,0,hard,26625
3,user187,0,hard,26625
21,user196,0,very hard,2147483647
21,user196,0,very hard,2147483647
24,user155,1,medium,185206
2,user192,0,easy,43604
5,user187,0,medium,2147483647
23,user186,0,hard,52100
21,user175,1,easy,111832
21,user175,1,easy,111832
21,user198,0,medium,72263
24,user178,0,medium,57789
1,user195,1,medium,70972
21,user179,0,medium,85713
3,user192,0,easy,20320
32,user170,1,medium,103071
25,user178,0,medium,13285
23,user196,0,very hard,54294
26,user178,0,easy,3378
6,user187,0,easy,2147483647
33,user170,1,easy,20002
1,user199,0,medium,115493
24,user186,0,medium,56332
27,user178,0,medium,20858
22,user198,0,hard,49810
1,user197,0,easy,2147483647
1,user197,0,easy,2147483647
22,user179,0,easy,51865
7,user187,0,medium,30089
21,user200,0,hard,2147483647
2,user195,0,medium,71976
1,user184,0,hard,2147483647
1,user184,0,hard,2147483647
1,user184,0,hard,2147483647
28,user178,1,hard,28551
1,user184,0,hard,2147483647
1,user184,0,hard,2147483647
1,user184,0,hard,2147483647
1,user184,0,hard,2147483647
1,user184,0,hard,2147483647
1,user184,0,hard,2147483647
1,user202,1,medium,64539
1,user184,0,hard,2147483647
1,user184,0,easy,2147483647
1,user184,0,easy,2147483647
1,user184,0,easy,2147483647
1,user184,0,easy,2147483647
1,user184,0,easy,2147483647
1,user184,0,easy,2147483647
23,user175,1,easy,100566
4,user192,0,easy,88645
25,user186,0,medium,56840
24,user196,1,very hard,90959
8,user187,0,medium,50579
5,user192,0,easy,17199
