queid,userid,result,difficulty,tstamp
17,user152,1,easy,84697
19,user156,0,easy,53040
16,user169,1,medium,109882
18,user152,1,easy,12859
17,user153,1,easy,91854
17,user160,0,hard,97651
17,user157,1,medium,81292
18,user157,0,easy,17805
16,user161,1,medium,230187
16,user162,1,medium,225680
18,user153,1,easy,37441
17,user169,0,easy,64771
19,user157,0,easy,19762
19,user152,1,medium,2147483647
18,user160,0,hard,56941
21,user156,1,easy,72779
16,user166,0,very hard,209654
16,user167,1,very hard,210274
19,user153,1,easy,37556
18,user169,1,easy,42075
17,user161,1,easy,57954
17,user162,1,easy,71456
22,user156,1,hard,1000
22,user156,1,hard,1000
23,user156,0,easy,15056
24,user156,0,easy,11922
19,user160,0,easy,89678
20,user157,0,very hard,106237
18,user161,1,hard,1000
18,user162,1,easy,48148
16,user158,1,easy,182397
19,user169,0,very hard,2147483647
20,user153,1,medium,125249
20,user153,1,medium,125249
19,user162,0,easy,43600
19,user161,0,easy,44637
21,user157,1,hard,49054
22,user157,1,easy,16257
17,user158,0,medium,64275
18,user158,1,easy,26111
23,user157,0,medium,33081
20,user169,0,very hard,68382
16,user159,1,hard,1000
25,user156,1,easy,126735
20,user160,0,very hard,145423
26,user156,0,easy,14259
20,user152,1,medium,155865
17,user166,1,medium,230296
17,user167,1,easy,231550
21,user169,0,very hard,43265
24,user157,1,easy,51988
19,user158,0,easy,54364
22,user169,1,hard,13164
27,user156,1,easy,40463
17,user159,1,easy,65368
23,user169,1,very hard,12247
21,user152,1,medium,39096
20,user161,1,easy,144881
24,user169,1,very hard,6788
20,user162,1,medium,147620
21,user160,1,medium,67015
18,user166,1,medium,75623
18,user167,1,easy,73464
25,user157,0,hard,64071
25,user169,1,hard,37237
28,user156,0,easy,58501
22,user153,1,very hard,196119
22,user152,1,medium,52916
22,user160,0,easy,37931
18,user159,1,hard,1000
16,user168,0,medium,552763
21,user161,1,easy,52711
29,user156,1,easy,5719
21,user162,1,easy,54741
30,user156,1,easy,7211
26,user157,0,hard,1000
22,user161,1,easy,30594
22,user162,1,easy,29139
27,user157,1,easy,11220
26,user169,0,hard,60188
19,user167,0,hard,73972
19,user166,0,very hard,80559
20,user158,0,very hard,151515
27,user169,1,easy,27503
19,user159,0,hard,1000
28,user169,0,very hard,18012
29,user169,1,very hard,2147483647
28,user157,1,easy,70403
29,user157,1,very hard,5237
23,user161,0,medium,99553
23,user162,0,easy,112132
30,user169,1,very hard,29831
20,user167,0,hard,112184
21,user158,1,easy,108837
30,user157,0,easy,56182
23,user153,0,hard,199526
23,user160,0,very hard,202669
24,user161,1,medium,58812
24,user162,1,medium,48277
20,user166,0,very hard,148728
23,user152,1,hard,208099
20,user166,0,very hard,148728
24,user160,1,very hard,11251
20,user159,1,easy,122716
21,user167,0,very hard,75550
22,user158,0,medium,75136
22,user166,0,very hard,44674
23,user166,0,hard,4120
22,user167,1,hard,24848
1,user182,0,medium,24389
2,user182,1,very hard,11507
1,user180,1,easy,67028
23,user167,0,very hard,29826
21,user159,1,easy,86612
24,user153,1,medium,92205
24,user167,0,hard,12822
2,user180,1,medium,25719
24,user152,1,medium,121115
1,user177,0,easy,86488
1,user177,0,easy,86488
3,user182,0,hard,52970
25,user167,0,hard,22771
23,user158,1,medium,110325
1,user193,1,easy,63326
1,user188,1,very hard,2147483647
22,user159,1,hard,1000
25,user161,1,medium,191890
1,user190,0,medium,99304
25,user162,1,medium,192230
1,user190,0,medium,99304
25,user160,1,medium,181509
1,user190,0,medium,99304
26,user167,1,medium,45278
1,user190,0,medium,99304
1,user190,0,medium,99304
3,user177,1,easy,64429
24,user158,1,medium,39045
25,user158,0,medium,5463
2,user188,1,very hard,43900
1,user185,0,easy,160275
16,user191,1,medium,131027
26,user160,0,easy,26807
16,user194,0,hard,1000
25,user152,1,easy,100056
27,user167,0,hard,26170
16,user189,0,medium,139608
25,user153,1,easy,117622
3,user180,0,hard,115300
16,user183,1,medium,181960
28,user167,1,very hard,15097
27,user160,1,easy,24316
26,user158,0,easy,36521
29,user167,0,very hard,9744
27,user158,1,easy,9825
26,user161,0,medium,78906
26,user162,0,easy,75750
4,user182,0,easy,126468
26,user153,1,easy,27483
26,user152,1,easy,48422
1,user201,1,hard,115584
6,user190,0,hard,96703
30,user167,0,hard,40901
17,user191,1,easy,83595
17,user189,1,hard,80217
17,user183,1,medium,71396
27,user153,1,easy,22841
27,user152,1,easy,17015
5,user182,0,easy,48728
16,user174,0,medium,376596
27,user162,1,hard,1000
27,user161,1,easy,52639
16,user174,0,medium,376596
4,user180,1,easy,85427
1,user193,1,medium,3976
24,user166,0,hard,1000
24,user166,0,hard,1000
28,user158,1,easy,42207
24,user166,0,hard,1000
1,user206,1,medium,131603
1,user181,0,hard,1000
4,user177,1,medium,134207
1,user206,1,medium,131603
16,user176,1,medium,318524
7,user190,1,easy,39901
18,user191,1,medium,24572
29,user158,1,easy,5325
18,user189,1,easy,17857
17,user194,1,easy,119140
3,user188,0,very hard,137153
30,user158,0,medium,6757
18,user183,0,easy,33957
2,user185,1,easy,139264
28,user161,1,easy,30404
28,user162,1,easy,32357
27,user166,1,hard,1000
6,user182,0,hard,37933
16,user207,1,medium,159011
1,user204,1,easy,105208
28,user166,1,hard,5086
16,user174,0,medium,7631
16,user203,1,easy,167543
1,user181,0,hard,1000
16,user203,1,easy,167543
29,user161,0,hard,12104
16,user203,1,easy,167543
18,user194,1,easy,28125
29,user162,0,hard,14874
16,user203,1,easy,167543
29,user166,0,hard,5939
28,user152,1,easy,60381
19,user183,0,easy,27319
30,user166,0,hard,3296
5,user180,0,easy,58323
28,user160,1,easy,136855
16,user203,1,easy,5819
17,user176,1,easy,56503
30,user161,0,hard,23372
30,user162,0,hard,20553
19,user191,0,very hard,59880
5,user177,0,medium,69265
7,user182,0,easy,43224
19,user194,0,medium,41121
3,user206,1,medium,83375
8,user190,1,easy,88486
8,user182,1,easy,20602
2,user181,0,hard,65515
2,user201,1,hard,149990
6,user177,0,medium,33427
23,user159,1,hard,1000
17,user174,1,easy,80497
9,user182,0,easy,17727
28,user153,1,hard,1000
18,user174,1,easy,2510
2,user204,1,hard,89911
